ORG_ID,ORG_NAME,ORG_TYPE,STATUS,ADDRESS_1,ADDRESS_2,ADDRESS_3,STATE,PCODE,GEO_ZONE,GEO_SUBZONE,LATITUDE,LONGITUDE
200053,CALWELL LPO,LPO,OPEN,CALWELL SHOPPING CENTRE,SHOP 22 7 WEBBER CRESCENT,CALWELL ACT,ACT,2905,Metro,Capital,-35.43501,149.11257
201494,NOWRA POST SHOP,RP,OPEN,,SHOP 1 59 JUNCTION STREET,NOWRA NSW,NSW,2541,Rural,Small Rural,-34.874157,150.600654
201785,WAGGA WAGGA POST SHOP,RP,OPEN,MARKETPLACE,UNIT 58 87 BAYLIS STREET,WAGGA WAGGA NSW,NSW,2650,Rural,Large Rural,-35.1153229,147.3696695
201793,WOLLONGONG UNIVERSITY LPO,LPO,OPEN,,2 NORTHFIELDS AVENUE,KEIRAVILLE NSW,NSW,2500,Metro,Other Metro,-34.40672,150.87864
201814,LIGHTHOUSE BEACH LPO,LPO,OPEN,,SHOP 1 46 WATONGA STREET,PORT MACQUARIE NSW,NSW,2444,Rural,Large Rural,-31.4778,152.92649
202219,LIVERPOOL WESTFIELD POST SHOP,RP,OPEN,WESTFIELD SHOPPING TOWN,SHOP 137-138 33-125 GEORGE STREET,LIVERPOOL NSW,NSW,2170,Metro,Capital,-33.918864,150.92437
216477,LISMORE POST SHOP,RP,OPEN,CONWAY PLAZA,UPPER GROUND FLOOR 21 CONWAY STREET,LISMORE NSW,NSW,2480,Rural,Large Rural,-28.8105,153.27475
225058,ABERMAIN LPO,LPO,OPEN,,221 CESSNOCK ROAD,ABERMAIN NSW,NSW,2326,Metro,Other Metro,-32.81072,151.42863
225090,MARRICKVILLE METRO LPO,LPO,OPEN,MARRICKVILLE METRO SHOPPING CENTRE,SHOP 87 34-36 VICTORIA ROAD,MARRICKVILLE NSW,NSW,2204,Metro,Capital,-33.906131,151.172282
225138,AINSLIE LPO,LPO,OPEN,,3 EDGAR STREET,AINSLIE ACT,ACT,2602,Metro,Capital,-35.26204,149.1452
225162,ALBION PARK RAIL LPO,LPO,OPEN,,UNIT 1 187 PRINCES HIGHWAY,ALBION PARK RAIL NSW,NSW,2527,Metro,Other Metro,-34.561499,150.796561
225170,ALBURY POST SHOP,RP,OPEN,,570 DEAN STREET,ALBURY  NSW,NSW,2640,Rural,Large Rural,-36.080542,146.915612
