OU_ID,FACILITY_NAME,TYPE,ADDRESS_1,ADDRESS_2,ADDRESS_3,PCODE,STATE,TELEPHONE,FAX,SUPERIOR_ORG_ID,SUPERIOR_ORG_NAME,LATITUDE,LONGITUDE
201494,NOWRA POST SHOP,RP,,SHOP 1 59 JUNCTION ST,NOWRA NSW,2541,NSW,02 4429 4140,02 4429 4141,215570,SYDNEY SOUTH RETAIL NETWK,,
201785,WAGGA WAGGA POST SHOP,RP,SHOP 46-47 MARKETPLACE,87 BAYLISS ST,WAGGA WAGGA NSW,2650,NSW,02 6937 3672,02 6937 3674,219264,COUNTRY STH NSW/ACT,,
202219,LIVERPOOL WESTFIELD POST SHOP,RP,WESTFIELD SHOPPINGTOWN,SHOP 137-138 GEORGE ST,LIVERPOOL NSW,2170,NSW,02 8777 9133,02 8777 9135,215570,SYDNEY SOUTH RETAIL NETWK,,
216477,LISMORE POST SHOP,RP,UPPER GROUND FLOOR CONWAY PLAZA,21 CONWAY STREET,LISMORE NSW,2480,NSW,02 6627 7315,02 6627 7316,218827,COUNTRY NORTH RETAIL NETWORK,,
225007,SYDNEY CITY POST SHOP,RP,SHOP 30 LEVEL 6,MLC CENTRE 19-29 MARTIN PLACE,SYDNEY NSW,2000,NSW,02 9244 3707,02 9244 3704,215132,SYDNEY EAST RETAIL NETWORK,,
225170,ALBURY POST SHOP,RP,,570 DEAN ST,ALBURY  NSW,2640,NSW,02 6051 3633,02 6051 3636,219264,COUNTRY STH NSW/ACT,,
225226,ALEXANDRIA POST SHOP,RP,,1 MITCHELL ROAD,ALEXANDRIA NSW,2015,NSW,02 9243 3870,02 9243 3872,215132,SYDNEY EAST RETAIL NETWORK,,
225277,ALSTONVILLE POST SHOP,RP,THE PLAZA,SHOP 44  8-20 ROBERTSON ST,ALSTONVILLE NSW,2477,NSW,02 6628 0209,02 6628 5366,218827,COUNTRY NORTH RETAIL NETWORK,,
225293,ANNANDALE POST SHOP,RP,,115 BOOTH ST,ANNANDALE NSW,2038,NSW,02 8736 5625,02 8736 5623,215132,SYDNEY EAST RETAIL NETWORK,,
225410,ARMIDALE POST SHOP,RP,,158 BEARDY STREET,ARMIDALE NSW,2350,NSW,02 6776 4080,02 6776 4082,218827,COUNTRY NORTH RETAIL NETWORK,,
225517,ARTARMON POST SHOP,RP,,64 HAMPDEN ROAD,ARTARMON NSW,2064,NSW,02 9242 1830,02 9242 1833,214631,SYDNEY NORTH NETWORK,,
225533,ASHFIELD POST SHOP,RP,SHOP 59 LEVEL 4 ASHFIELD MALL,260A LIVERPOOL ROAD,ASHFIELD NSW,2131,NSW,02 8736 5680,02 8736 5682,214033,SYDNEY WEST RETAIL NETWORK,,
225605,AUBURN POST SHOP,RP,SHOP P5 AUBURN CENTRAL,CNR QUEEN ST & HARROW RD,AUBURN NSW,2144,NSW,02 8736 5630,02 8736 5632,214033,SYDNEY WEST RETAIL NETWORK,,
225680,AVALON BEACH POST SHOP,RP,,45 AVALON PARADE,AVALON BEACH NSW,2107,NSW,02 9918 2525,02 9918 9644,214631,SYDNEY NORTH NETWORK,,
225744,BALGOWLAH POST SHOP,RP,SHOP 9,318 SYDNEY ROAD,BALGOWLAH NSW,2093,NSW,02 9450 7260,02 9450 7262,214631,SYDNEY NORTH NETWORK,,
225824,BALLINA POST SHOP,RP,,85 TAMAR STREET,BALLINA NSW,2478,NSW,02 6626 8810,02 6626 8812,218827,COUNTRY NORTH RETAIL NETWORK,,
225832,BALMAIN POST SHOP,RP,,366B DARLING STREET,BALMAIN NSW,2041,NSW,02 8736 5665,02 8736 5666,215132,SYDNEY EAST RETAIL NETWORK,,
225920,AUSTRALIA SQUARE POST SHOP,RP,GOURMET CIRCLE,264A-278 GEORGE ST,SYDNEY NSW,2000,NSW,02 9244 1980,02 9244 1985,215132,SYDNEY EAST RETAIL NETWORK,,
226018,BANKSTOWN POST SHOP,RP,,20 RESTWELL STREET,BANKSTOWN NSW,2200,NSW,02 9582 8695,02 9582 8696,215570,SYDNEY SOUTH RETAIL NETWK,,
226202,BATEMANS BAY POST SHOP,RP,,7 ORIENT STREET,BATEMANS BAY NSW,2536,NSW,02 4475 3612,02 4475 3613,219264,COUNTRY STH NSW/ACT,,
226210,BATHURST POST SHOP,RP,,230 HOWICK STREET,BATHURST NSW,2795,NSW,02 6339 4812,02 6339 4813,217808,HUNTER/MID WEST RETAIL NETWORK,,
226253,BAULKHAM HILLS POST SHOP,RP,STOCKLAND MALL,SHOP 61-62 375-383 WINDSOR RD,BAULKHAM HILLS NSW,2153,NSW,02 9942 1815,02 9942 1816,214033,SYDNEY WEST RETAIL NETWORK,,
226368,BEGA POST SHOP,RP,,150 CARP STREET,BEGA NSW,2550,NSW,02 6491 8831,02 6491 8832,219264,COUNTRY STH NSW/ACT,,
226448,CENTRO BANKSTOWN,RP,CENTRO BANKSTOWN,SHOP 12 LEVEL 3,BANKSTOWN NSW,2200,NSW,02 9205 4830,02 9205 4832,215570,SYDNEY SOUTH RETAIL NETWK,,
226480,BELCONNEN POST SHOP,RP,L2 SHOP 23 WESTFIELD SHOPPING CENTRE,18 BENJAMIN WAY,BELCONNEN ACT,2617,NSW,02 6219 5711,02 6219 5712,219264,COUNTRY STH NSW/ACT,,
226499,BELCONNEN BC,RP,,35 COHEN ST,BELCONNEN ACT,2617,NSW,02 6219 5713,02 6219 5714,219264,COUNTRY STH NSW/ACT,,
226587,BELMONT POST SHOP,RP,,18-22 MACQUARIE ST,BELMONT NSW,2280,NSW,02 4978 4508,02 4978 4509,217808,HUNTER/MID WEST RETAIL NETWORK,,
227221,BLACKTOWN POST SHOP,RP,,22 MAIN STREET,BLACKTOWN NSW,2148,NSW,02 9208 4300,02 9208 4318,214033,SYDNEY WEST RETAIL NETWORK,,
227600,BONDI BEACH POST SHOP,RP,,20 HALL STREET,BONDI BEACH NSW,2026,NSW,02 8374 8500,02 8374 8510,215132,SYDNEY EAST RETAIL NETWORK,,
227619,BONDI JUNCTION POST SHOP,RP,SHOP 5023 LEVEL 5 WESTFIELD SHOPPING CTR,500 OXFORD STREET,BONDI JUNCTION NSW,2022,NSW,02 8374 8509,02 8374 8507,215132,SYDNEY EAST RETAIL NETWORK,,
227838,BOTANY POST SHOP,RP,,2 BANKSIA STREET,BOTANY NSW,2019,NSW,02 9246 3961,02 9246 3962,215132,SYDNEY EAST RETAIL NETWORK,,
228021,BOWRAL POST SHOP,RP,,260 BONG BONG ST,BOWRAL NSW,2576,NSW,02 4860 4930,02 4860 4932,215570,SYDNEY SOUTH RETAIL NETWK,,
228216,BROADWAY POST SHOP,RP,SHOP G21 THE BROADWAY SHOPPING CENTRE,1-21 BAY STREET,BROADWAY NSW,2007,NSW,02 9246 3950,02 9246 3952,215132,SYDNEY EAST RETAIL NETWORK,,
228240,BROKEN HILL POST SHOP,RP,,260 ARGENT STREET,BROKEN HILL NSW,2880,NSW,08 8082 5230,08 8082 5236,219512,FAR WEST RET/DEL NETWORK,,
228793,BURWOOD POST SHOP,RP,SHOP 5  BURWOOD PLAZA,42 RAILWAY PARADE,BURWOOD NSW,2134,NSW,02 9582 8697,02 9582 8698,214033,SYDNEY WEST RETAIL NETWORK,,
228849,BYRON BAY POST SHOP,RP,,61 JONSON STREET,BYRON BAY NSW,2481,NSW,02 6639 7851,02 6639 7852,218827,COUNTRY NORTH RETAIL NETWORK,,
